code,section,date,open,high,low,close,vol,value,n_stock,foreign_vol,agency_buy,agency_netbuy,weekday,year,month,day
A003490,KOSPI,2001-12-10,5797,5933,5456,5524,3211711,31722000000,60010000,10271557,0,0,2,2001,12,10
A003490,KOSPI,2001-12-11,5387,5756,5203,5742,2655773,25588000000,60010000,10396286,0,0,3,2001,12,11
A003490,KOSPI,2001-12-12,5524,5763,5524,5537,1383293,13517000000,60010000,10312384,0,0,4,2001,12,12
A003490,KOSPI,2001-12-13,5537,5790,5483,5626,1610754,15756000000,60010000,10353522,0,0,5,2001,12,13
A003490,KOSPI,2001-12-14,5524,5612,5462,5510,726762,6999000000,60010000,10347406,0,0,6,2001,12,14
A003490,KOSPI,2001-12-17,5456,5456,5012,5012,1561838,14105000000,60010000,9864357,0,0,2,2001,12,17
A003490,KOSPI,2001-12-18,5101,5251,4917,4917,999680,8893000000,60010000,9840879,0,0,3,2001,12,18
A003490,KOSPI,2001-12-19,5012,5592,4651,5456,1447455,12790000000,60010000,9832006,0,0,4,2001,12,19
A003490,KOSPI,2001-12-20,5387,5660,5128,5401,2171254,20480000000,60010000,9832057,0,0,5,2001,12,20
A003490,KOSPI,2001-12-21,5183,5592,5183,5319,2078480,19704000000,60010000,9786415,0,0,6,2001,12,21
A003490,KOSPI,2001-12-24,5319,5408,5162,5319,997171,9175000000,60010000,9920411,0,0,2,2001,12,24
A003490,KOSPI,2001-12-26,5353,5415,5251,5278,626033,5782000000,60010000,9913677,0,0,4,2001,12,26
A003490,KOSPI,2001-12-27,5278,5374,5149,5319,908606,8363000000,60010000,10067683,0,0,5,2001,12,27
A003490,KOSPI,2001-12-28,5401,5592,5333,5537,1355783,13030000000,60010000,10085782,0,0,6,2001,12,28
A003490,KOSPI,2002-01-02,5797,5851,5694,5769,1246087,12510000000,60010000,10061151,0,0,4,2002,1,2
A003490,KOSPI,2002-01-03,5810,5831,5667,5728,991543,9939000000,60010000,10110817,0,0,5,2002,1,3
